apartment_id,city,listing_title,price,beds,square_footage,listing_url,usc_commute,work_commute,walk_score,bike_score
1,Downtown Long Beach,Chic Apartment Steps Away from the Ocean and Downtown Long Beach!,1895,2,700.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-chic-apartment-steps-away/7932786213.html,33.0,31.0,98,89
2,Downtown Long Beach,Downtown Long Beach Condo 2 Bdrm/2 Bth/2 Story INCLUDES 2 Car Garage Parking!,2750,2,1125.0,https://losangeles.craigslist.org/lgb/apa/d/lakewood-downtown-long-beach-condo-bdrm/7928496648.html,33.0,31.0,98,89
3,Downtown Long Beach,2 bed 1 bathroom,2350,2,,https://losangeles.craigslist.org/lgb/apa/d/long-beach-bed-bathroom/7932482352.html,33.0,31.0,98,89
4,Downtown Long Beach,"Explore, dream, settle. Your new journey starts with this 2 BR.",3949,2,1081.0,https://losangeles.craigslist.org/wst/apa/d/long-beach-explore-dream-settle-your/7932329010.html,33.0,31.0,98,89
5,Downtown Long Beach,Ideal location! Close to everything! 2 bed / 2 bath! 1218 Sqft!,4360,2,1218.0,https://losangeles.craigslist.org/wst/apa/d/long-beach-ideal-location-close-to/7932529049.html,33.0,31.0,98,89
6,Downtown Long Beach,"Clean, Quiet & Convenient - Martin Apartments",1500,2,810.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-clean-quiet-convenient/7933300561.html,33.0,31.0,98,89
7,Downtown Long Beach,Tailored for pet lovers! 2 Bed/2 Bath in our pet-friendly community.,3949,2,1081.0,https://losangeles.craigslist.org/wst/apa/d/long-beach-tailored-for-pet-lovers-bed/7932534110.html,33.0,31.0,98,89
8,Downtown Long Beach,"Large 1218 sqft 2 bed, 2 bath! Convenient washer and dryer included!",4360,2,1218.0,https://losangeles.craigslist.org/wst/apa/d/long-beach-large-1218-sqft-bed-bath/7932756358.html,33.0,31.0,98,89
9,Downtown Long Beach,2 Bedroom with Parking - Alamitos Beach on 1st Street,2450,2,900.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-bedroom-with-parking/7933245320.html,33.0,31.0,98,89
10,Downtown Long Beach,Simply beautiful 2 bed / 2 bath in prime Long Beach neighborhood,3949,2,1081.0,https://losangeles.craigslist.org/wst/apa/d/long-beach-simply-beautiful-bed-bath-in/7933204344.html,33.0,31.0,98,89
11,Downtown Long Beach,VIDEO TOUR! UPDATED 2+2 for RENT w/ PRIVATE BALCONY & PARKING! 11434,2250,2,900.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-video-tour-updated-22-for/7931537709.html,33.0,31.0,98,89
12,Downtown Long Beach,"755 Daisy Avenue (3 Bed | 1 bath) for Rent: $2,300.00",2300,2,,https://losangeles.craigslist.org/lgb/apa/d/long-beach-755-daisy-avenue-bed-bath/7933067420.html,33.0,31.0,98,89
13,Downtown Long Beach,"TMLP 13-mo. | Private Patio/Balcony, Custom Cabinetry, High Ceilings",2944,2,890.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-tmlp-13-mo-private-patio/7933060718.html,33.0,31.0,98,89
14,Downtown Long Beach,"2 Bed | 2 Bath | Prime Location - 709 Elm Avenue, #202 Long Beach, CA",1995,2,700.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-bed-bath-prime-location-elm/7931210308.html,33.0,31.0,98,89
15,Downtown Long Beach,Remodeled 2BR/1BA – 1037 unit 3,2000,2,1000.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-remodeled-2br-1ba-unit/7932528362.html,33.0,31.0,98,89
16,Downtown Long Beach,$500 RENT CREDIT!! Appliances Included! CALL NOW,2295,2,805.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-500-rent-credit-appliances/7932153175.html,33.0,31.0,98,89
17,Downtown Long Beach,2 Beds 1 Bath Apartment for rent,2300,2,800.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-beds-bath-apartment-for-rent/7931440365.html,33.0,31.0,98,89
18,Downtown Long Beach,Downtown Long Beach Condo 2 Bdrm/2 Bth/2 Story INCLUDES 2 Car Garage Parking!,2900,2,1125.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-downtown-long-beach-condo/7928496526.html,33.0,31.0,98,89
19,Downtown Long Beach,Woof! Bark! Meow! Pets Allowed Here! Check us out!,3750,2,1081.0,https://losangeles.craigslist.org/wst/apa/d/long-beach-woof-bark-meow-pets-allowed/7930742493.html,33.0,31.0,98,89
20,Downtown Long Beach,"Convenient location for commuters – On the bus line! 2 bed, 2 bath",3390,2,1056.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-convenient-location-for/7929536242.html,33.0,31.0,98,89
21,Downtown Long Beach,2bd 2br Condo for lease,2850,2,909.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-2bd-2br-condo-for-lease/7930183116.html,33.0,31.0,98,89
22,Downtown Long Beach,Wonderful 2 bed / 2 bath in prime location! Close to everything!,3750,2,1081.0,https://losangeles.craigslist.org/wst/apa/d/long-beach-wonderful-bed-bath-in-prime/7929220361.html,33.0,31.0,98,89
23,Downtown Long Beach,"Upscale luxury living can be yours! 2 bed, 2 bath! Come in today!",4160,2,1218.0,https://losangeles.craigslist.org/wst/apa/d/long-beach-upscale-luxury-living-can-be/7929214208.html,33.0,31.0,98,89
24,Downtown Long Beach,"Make it yours! Rentals in Long Beach. 2 Beds, 1 Baths",2100,2,740.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-make-it-yours-rentals-in/7929156675.html,33.0,31.0,98,89
25,Downtown Long Beach,"Oh my! What a gorgeous place! See this 2 bed, 2 bath for yourself!",3750,2,1081.0,https://losangeles.craigslist.org/wst/apa/d/long-beach-oh-my-what-gorgeous-place/7927733592.html,33.0,31.0,98,89
26,Downtown Long Beach,"Charming and private 2-bedroom, 1-bath back unit",2100,2,,https://losangeles.craigslist.org/lgb/apa/d/long-beach-charming-and-private-bedroom/7927532593.html,33.0,31.0,98,89
27,Downtown Long Beach,"Evening Courtesy Patrol, Fitness Center, Guest Parking",3697,2,1148.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-evening-courtesy-patrol/7931760017.html,33.0,31.0,98,89
28,Downtown Long Beach,"2 BD, Fitness Center, Multiple Laundry Facilities",3560,2,1148.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bd-fitness-center-multiple/7932618678.html,33.0,31.0,98,89
29,Downtown Long Beach,"2bd 2ba, Stainless Steel Appliances, EV Charging Stations",3697,2,1148.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-2bd-2ba-stainless-steel/7927302683.html,33.0,31.0,98,89
30,Downtown Long Beach,"2/BD, Multiple Laundry Facilities, Fitness Center",3620,2,1148.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bd-multiple-laundry/7929077368.html,33.0,31.0,98,89
31,Downtown Long Beach,"Multiple Laundry Facilities, Guest Parking, Jetted Spa Jacuzzi",3640,2,1148.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-multiple-laundry-facilities/7929263248.html,33.0,31.0,98,89
32,Downtown Long Beach,"Don't let this one get away! 2 BR, 2 BA. Prime Alhambra location",2455,2,900.0,https://losangeles.craigslist.org/sgv/apa/d/city-of-industry-dont-let-this-one-get/7932975223.html,33.0,31.0,98,89
33,Downtown Long Beach,"Everything you want and MORE! 900 sq ft 2 bed, 2 bath available!",2455,2,900.0,https://losangeles.craigslist.org/sgv/apa/d/city-of-industry-everything-you-want/7932975770.html,33.0,31.0,98,89
34,Downtown Long Beach,"2/BD 2/BA, Guest Parking, Located in Los Angeles",3566,2,1148.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bd-ba-guest-parking-located/7933415681.html,33.0,31.0,98,89
35,Downtown Long Beach,Almansor Villa Apartments – Commuting is easy! Right on the bus line!,2455,2,900.0,https://losangeles.craigslist.org/sgv/apa/d/city-of-industry-almansor-villa/7932976434.html,33.0,31.0,98,89
36,Downtown Long Beach,"Fitness Center, Guest Parking, EV Charging Stations",3730,2,1148.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-fitness-center-guest/7927957260.html,33.0,31.0,98,89
37,Downtown Long Beach,"2/bd, Evening Courtesy Patrol, Fitness Center",3645,2,1148.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bd-evening-courtesy-patrol/7930486428.html,33.0,31.0,98,89
38,Downtown Long Beach,"2 Bed, Fitness Center, Multiple Laundry Facilities",3645,2,1148.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bed-fitness-center-multiple/7930544197.html,33.0,31.0,98,89
39,Downtown Long Beach,"2 Bed, Jetted Spa Jacuzzi, Los Angeles CA",2994,2,1148.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bed-jetted-spa-jacuzzi-los/7931505129.html,33.0,31.0,98,89
40,Downtown Long Beach,"2BD 2BA, Quartz Countertops, Fitness Center",3540,2,988.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-2bd-2ba-quartz-countertops/7930736539.html,33.0,31.0,98,89
41,Downtown Long Beach,"2 Bed, Evening Courtesy Patrol, Fitness Center",3750,2,1148.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bed-evening-courtesy-patrol/7927969543.html,33.0,31.0,98,89
42,Downtown Long Beach,"EV Charging Stations, Fitness Center, Resident Lounge w/ Free Wi-Fi",3625,2,1148.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-ev-charging-stations/7930611941.html,33.0,31.0,98,89
43,Downtown Long Beach,"2B/D, Multiple Laundry Facilities, Evening Courtesy Patrol",3620,2,1148.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-2b-multiple-laundry/7929440927.html,33.0,31.0,98,89
44,Downtown Long Beach,Don't let this fabulous 2 bed 2 bath apartment get away!!,2455,2,900.0,https://losangeles.craigslist.org/sgv/apa/d/city-of-industry-dont-let-this-fabulous/7931244882.html,33.0,31.0,98,89
45,Downtown Long Beach,Amazing 2 bedroom / 2 bathroom townhome in Alhambra,2455,2,900.0,https://losangeles.craigslist.org/sgv/apa/d/city-of-industry-amazing-bedroom/7931244933.html,33.0,31.0,98,89
46,Downtown Long Beach,"2/BD 2/BA, Fitness Center, Resident Lounge w/ Free Wi-Fi",3540,2,988.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bd-ba-fitness-center/7929715834.html,33.0,31.0,98,89
47,Downtown Long Beach,WE LOVE OUR PETS!! Great Community for Animal-Lovers!,2455,2,900.0,https://losangeles.craigslist.org/sgv/apa/d/city-of-industry-we-love-our-pets-great/7932106251.html,33.0,31.0,98,89
48,Downtown Long Beach,"2 BD, Quartz Countertops, Multiple Laundry Facilities",3697,2,1148.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bd-quartz-countertops/7931953232.html,33.0,31.0,98,89
49,Downtown Long Beach,"2BD 2BA, Quartz Countertops, Evening Courtesy Patrol",3697,2,1148.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-2bd-2ba-quartz-countertops/7932404984.html,33.0,31.0,98,89
50,Downtown Long Beach,Beautiful 900 Sq Ft 2 Bed / 2 Bath close to campus!,2455,2,900.0,https://losangeles.craigslist.org/sgv/apa/d/city-of-industry-beautiful-900-sq-ft/7932106315.html,33.0,31.0,98,89
51,Cerritos,"Off Street Parking, Window Coverings, 2 On-Site Laundry Facilities",2654,2,901.0,https://losangeles.craigslist.org/lac/apa/d/norwalk-off-street-parking-window/7929959266.html,30.0,28.0,49,48
52,Cerritos,"On-Site Maintenance, 3 Courtyard with New BBQs, Jacuzzi",2549,2,901.0,https://losangeles.craigslist.org/lac/apa/d/norwalk-on-site-maintenance-courtyard/7932632315.html,30.0,28.0,49,48
53,Cerritos,"Newly Renovated, Updated Cabinets and Counter Tops, Now Touring",2802,2,950.0,https://losangeles.craigslist.org/lgb/apa/d/lakewood-newly-renovated-updated/7933479010.html,30.0,28.0,49,48
54,Cerritos,"Swimming Pool, Dishwasher, Garbage Disposal, Microwave, AC, Gas Stoves",3475,2,860.0,https://losangeles.craigslist.org/lgb/apa/d/norwalk-swimming-pool-dishwasher/7933476682.html,30.0,28.0,49,48
55,Cerritos,"Wood-Inspired Flooring, Window Coverings, Courtesy Patrol",2549,2,901.0,https://losangeles.craigslist.org/lac/apa/d/norwalk-wood-inspired-flooring-window/7931177279.html,30.0,28.0,49,48
56,Cerritos,"Large Closets, On-Site Management, Off Street Parking",2549,2,901.0,https://losangeles.craigslist.org/lac/apa/d/norwalk-large-closets-on-site/7933040678.html,30.0,28.0,49,48
57,Cerritos,"AC, Stainless Steel Appliances, Premium Bathrooms, Fitness Center",3475,2,860.0,https://losangeles.craigslist.org/lgb/apa/d/norwalk-ac-stainless-steel-appliances/7933452815.html,30.0,28.0,49,48
58,Cerritos,"Carports, Stainless Steel Appliances, Gas Stoves, A Must See",3475,2,860.0,https://losangeles.craigslist.org/lgb/apa/d/norwalk-carports-stainless-steel/7933440435.html,30.0,28.0,49,48
59,Cerritos,"Fitness Center with State-of-The-Art Equipment, Gas Stove, Ceiling Fan",2654,2,901.0,https://losangeles.craigslist.org/lac/apa/d/norwalk-fitness-center-with-state-of/7932083711.html,30.0,28.0,49,48
60,Cerritos,"Swimming Pool, Extra Storage, A Must See, Wood Plank Flooring",3475,2,860.0,https://losangeles.craigslist.org/lgb/apa/d/norwalk-swimming-pool-extra-storage/7933424306.html,30.0,28.0,49,48
61,Cerritos,"Ceiling Fan, Wood-Inspired Flooring, On-Site Maintenance",2549,2,901.0,https://losangeles.craigslist.org/lac/apa/d/norwalk-ceiling-fan-wood-inspired/7932537857.html,30.0,28.0,49,48
62,Cerritos,"Fitness Center, Swimming Pool, Extra Storage, Smart Home Technology",3475,2,860.0,https://losangeles.craigslist.org/lgb/apa/d/norwalk-fitness-center-swimming-pool/7933407263.html,30.0,28.0,49,48
63,Cerritos,"Premium Bathrooms, Tour Today, Smart Home Technology, Swimming Pool",3475,2,860.0,https://losangeles.craigslist.org/lgb/apa/d/norwalk-premium-bathrooms-tour-today/7933391581.html,30.0,28.0,49,48
64,Cerritos,"Assigned Uncovered Parking, Carpeting, Wood-Inspired Flooring",2654,2,901.0,https://losangeles.craigslist.org/lac/apa/d/norwalk-assigned-uncovered-parking/7928228507.html,30.0,28.0,49,48
65,Cerritos,"Large Closets, Two-Tone Designer Paint, Two On-Site Laundry Facilities",2549,2,901.0,https://losangeles.craigslist.org/lac/apa/d/norwalk-large-closets-two-tone-designer/7928397424.html,30.0,28.0,49,48
66,Cerritos,"On-Site Maintenance, Large Closets, Off Street Parking",2654,2,901.0,https://losangeles.craigslist.org/lac/apa/d/norwalk-on-site-maintenance-large/7929651957.html,30.0,28.0,49,48
67,Cerritos,"Electronic Thermostat, 3 Courtyard with New BBQs, Window Coverings",2549,2,901.0,https://losangeles.craigslist.org/lac/apa/d/norwalk-electronic-thermostat-courtyard/7927907641.html,30.0,28.0,49,48
68,Cerritos,"Ceiling Fan, 2 On-Site Laundry Facilities, Window Coverings",2549,2,901.0,https://losangeles.craigslist.org/lac/apa/d/norwalk-ceiling-fan-on-site-laundry/7931452768.html,30.0,28.0,49,48
69,Cerritos,"Ceiling Fan, Assigned Uncovered Parking, Wood-Inspired Flooring",2654,2,901.0,https://losangeles.craigslist.org/lac/apa/d/norwalk-ceiling-fan-assigned-uncovered/7929748478.html,30.0,28.0,49,48
70,Cerritos,"3 Courtyard with New BBQs, 3 Courtyards with New BBQs, Swimming Pool",2549,2,901.0,https://losangeles.craigslist.org/lac/apa/d/norwalk-courtyard-with-new-bbqs/7929720704.html,30.0,28.0,49,48
71,Cerritos,"Courtesy Patrol, Carpeting, Jacuzzi",2549,2,901.0,https://losangeles.craigslist.org/lac/apa/d/norwalk-courtesy-patrol-carpeting/7932405394.html,30.0,28.0,49,48
72,Cerritos,"Controlled Access Building, Gas Stoves, Smart Home Technology",3475,2,860.0,https://losangeles.craigslist.org/lgb/apa/d/norwalk-controlled-access-building-gas/7933303134.html,30.0,28.0,49,48
73,Cerritos,"Large Closets, Wood-Inspired Flooring, Two On-Site Laundry Facilities",2379,2,901.0,https://losangeles.craigslist.org/lac/apa/d/norwalk-large-closets-wood-inspired/7932855734.html,30.0,28.0,49,48
74,Cerritos,"Swimming Pool, AC, Fitness Center, Stainless Steel Appliances",3475,2,860.0,https://losangeles.craigslist.org/lgb/apa/d/norwalk-swimming-pool-ac-fitness-center/7933274625.html,30.0,28.0,49,48
75,Cerritos,"Formica Granite Countertops, Carpeting, Microwave",2549,2,901.0,https://losangeles.craigslist.org/lac/apa/d/norwalk-formica-granite-countertops/7927955969.html,30.0,28.0,49,48
76,Cerritos,"Fitness Center, Gas Stoves, Premium Bathrooms",3475,2,860.0,https://losangeles.craigslist.org/lgb/apa/d/norwalk-fitness-center-gas-stoves/7933258949.html,30.0,28.0,49,48
77,Cerritos,"Assigned Uncovered Parking, Carpeting, 3 Courtyard with New BBQs",2549,2,901.0,https://losangeles.craigslist.org/lac/apa/d/norwalk-assigned-uncovered-parking/7931436317.html,30.0,28.0,49,48
78,Cerritos,"Stainless Steel Appliances, Carports, Smart Home Technology",3475,2,860.0,https://losangeles.craigslist.org/lgb/apa/d/norwalk-stainless-steel-appliances/7933239370.html,30.0,28.0,49,48
79,Cerritos,"Stainless Steel Appliances, Extra Storage, Tour Today",3475,2,860.0,https://losangeles.craigslist.org/lgb/apa/d/norwalk-stainless-steel-appliances/7933217262.html,30.0,28.0,49,48
80,Cerritos,"Jacuzzi, On-Site Management, Gas Stove",2549,2,901.0,https://losangeles.craigslist.org/lac/apa/d/norwalk-jacuzzi-on-site-management-gas/7932743724.html,30.0,28.0,49,48
81,Cerritos,"Dishwasher, Garbage Disposal, Microwave, Controlled Access Building",3475,2,860.0,https://losangeles.craigslist.org/lgb/apa/d/norwalk-dishwasher-garbage-disposal/7933199949.html,30.0,28.0,49,48
82,Cerritos,"Gated Community with Controlled Access, Cable Ready, Large Closets",2654,2,901.0,https://losangeles.craigslist.org/lac/apa/d/norwalk-gated-community-with-controlled/7929491689.html,30.0,28.0,49,48
83,Cerritos,"Formica Granite Countertops, Carpeting, Window Coverings",2654,2,901.0,https://losangeles.craigslist.org/lac/apa/d/norwalk-formica-granite-countertops/7927999464.html,30.0,28.0,49,48
84,Cerritos,"Relaxing Jacuzzi, Carpeting, Jacuzzi",2549,2,901.0,https://losangeles.craigslist.org/lac/apa/d/norwalk-relaxing-jacuzzi-carpeting/7929872829.html,30.0,28.0,49,48
85,Cerritos,"Two On-Site Laundry Facilities, Ceiling Fan, Carpeting",2549,2,901.0,https://losangeles.craigslist.org/lac/apa/d/norwalk-two-on-site-laundry-facilities/7929459447.html,30.0,28.0,49,48
86,Cerritos,"Swimming Pool, Dishwasher, Garbage Disposal, Microwave, Gas Stoves",3475,2,860.0,https://losangeles.craigslist.org/lgb/apa/d/norwalk-swimming-pool-dishwasher/7933092510.html,30.0,28.0,49,48
87,Cerritos,"State-Of-The-Art Fitness Center, Spacious Closets, Wood-Like Flooring",2802,2,950.0,https://losangeles.craigslist.org/lgb/apa/d/lakewood-state-of-the-art-fitness/7933060092.html,30.0,28.0,49,48
88,Cerritos,"Spacious Closets, Pets Welcome, State-Of-The-Art Fitness Center",2696,2,950.0,https://losangeles.craigslist.org/lgb/apa/d/lakewood-spacious-closets-pets-welcome/7933038681.html,30.0,28.0,49,48
89,Cerritos,"2 On-Site Laundry Facilities, 3 Courtyard with New BBQs, Microwave",2549,2,901.0,https://losangeles.craigslist.org/lac/apa/d/norwalk-on-site-laundry-facilities/7933027456.html,30.0,28.0,49,48
90,Cerritos,"Pets Welcome, Newly Renovated, Recreational Parks Nearby, Ceiling Fans",2802,2,950.0,https://losangeles.craigslist.org/lgb/apa/d/lakewood-pets-welcome-newly-renovated/7932972236.html,30.0,28.0,49,48
91,Cerritos,"Microwave, Relaxing Jacuzzi, Stainless Steel Fixtures and Sink",2379,2,901.0,https://losangeles.craigslist.org/lac/apa/d/norwalk-microwave-relaxing-jacuzzi/7932971009.html,30.0,28.0,49,48
92,Cerritos,"Recreational Parks Nearby, Spacious Closets, Swimming Pool",2696,2,950.0,https://losangeles.craigslist.org/lgb/apa/d/lakewood-recreational-parks-nearby/7932878218.html,30.0,28.0,49,48
93,Cerritos,"All Apartments have A/C, Swimming Pool, Off Street Parking",2549,2,901.0,https://losangeles.craigslist.org/lac/apa/d/norwalk-all-apartments-have-c-swimming/7932379998.html,30.0,28.0,49,48
94,Cerritos,"Community Center, 3 Courtyard with New BBQs, Two-Tone Designer Paint",2549,2,901.0,https://losangeles.craigslist.org/lac/apa/d/norwalk-community-center-courtyard-with/7932800549.html,30.0,28.0,49,48
95,Cerritos,"Off Street Parking, Spanish Speaking Staff, Two-Tone Designer Paint",2654,2,901.0,https://losangeles.craigslist.org/lac/apa/d/norwalk-off-street-parking-spanish/7931197940.html,30.0,28.0,49,48
